Direction,CountyCode,DistrictNumber,Latitude,Longitude
BOTH DIRECTIONS,WOO,2,41.282727,-83.638976
BOTH DIRECTIONS,TRU,4,41.237972,-80.757294
EASTBOUND,CUY,12,41.424571,-81.544087
BOTH DIRECTIONS,ERI,3,41.297515,-82.605937
BOTH DIRECTIONS,TUS,11,40.478321,-81.483595
BOTH DIRECTIONS,HIG,9,39.208977,-83.628949
BOTH DIRECTIONS,SCI,9,38.757722,-82.863763
BOTH DIRECTIONS,WAS,10,39.563685,-81.20519
BOTH DIRECTIONS,WAS,10,39.46191,-81.124074
BOTH DIRECTIONS,MER,7,40.706958,-84.7853
BOTH DIRECTIONS,CUY,12,41.42051,-81.64401
BOTH DIRECTIONS,ALL,1,40.892774,-83.885575
BOTH DIRECTIONS,COS,5,40.435947,-81.964427
BOTH DIRECTIONS,POR,4,41.272377,-81.145457
BOTH DIRECTIONS,RIC,3,40.762265,-82.694564
EASTBOUND,SUM,4,41.039116,-81.63306
BOTH DIRECTIONS,COS,5,40.355705,-82.127779
BOTH DIRECTIONS,JEF,11,40.274484,-80.619178
BOTH DIRECTIONS,JEF,11,40.219519,-80.666471
BOTH DIRECTIONS,CUY,12,41.294514,-81.639849
EASTBOUND,CUY,12,41.58049,-81.540945
SOUTHBOUND,WAS,10,39.300481,-81.663601
BOTH DIRECTIONS,BEL,11,40.008367,-80.749914
BOTH DIRECTIONS,HAM,8,39.226048,-84.368744
BOTH DIRECTIONS,LUC,2,41.674872,-83.572939
SOUTHBOUND,FRA,6,40.0967,-83.13656
BOTH DIRECTIONS,COL,11,40.878755,-80.841422
BOTH DIRECTIONS,GAL,10,38.838947,-82.164868
BOTH DIRECTIONS,MOE,10,39.706996,-81.014471
BOTH DIRECTIONS,WAY,3,40.80529,-81.986056
BOTH DIRECTIONS,GEA,12,41.370581,-81.082754
BOTH DIRECTIONS,LAW,9,38.553503,-82.467397
BOTH DIRECTIONS,HAN,1,41.054191,-83.671062
BOTH DIRECTIONS,SUM,4,41.04045,-81.608756
BOTH DIRECTIONS,PRE,8,39.743568,-84.785104
BOTH DIRECTIONS,GRE,8,39.782402,-83.959571
BOTH DIRECTIONS,HAS,11,40.420645,-81.089085
BOTH DIRECTIONS,WAS,10,39.560238,-81.205552
BOTH DIRECTIONS,STA,4,40.791171,-81.338288
EASTBOUND,LOR,3,41.38068,-82.067669
BOTH DIRECTIONS,GUE,5,39.904326,-81.553678
EASTBOUND,CUY,12,41.485068,-81.745959
BOTH DIRECTIONS,CUY,12,41.414002,-81.615962
BOTH DIRECTIONS,SCI,9,38.78346,-82.9825
BOTH DIRECTIONS,MIA,7,40.150637,-84.209052
EASTBOUND,LUC,2,41.678348,-83.588341
EASTBOUND,MAH,4,40.916555,-80.52913
BOTH DIRECTIONS,RIC,3,40.919502,-82.686022
BOTH DIRECTIONS,SEN,2,41.123498,-83.158731
BOTH DIRECTIONS,UNI,6,40.258044,-83.460304
BOTH DIRECTIONS,LUC,2,41.683628,-83.570639
BOTH DIRECTIONS,SHE,7,40.285907,-84.169558
SOUTHBOUND,LUC,2,41.678404,-83.573391
BOTH DIRECTIONS,TRU,4,41.159871,-80.647569
BOTH DIRECTIONS,HAM,8,39.243767,-84.448822
BOTH DIRECTIONS,HAM,8,39.144949,-84.729028
BOTH DIRECTIONS,POR,4,41.261695,-81.375088
NORTHBOUND,ATH,10,39.308441,-81.870413
WESTBOUND,MAH,4,40.911016,-80.518877
BOTH DIRECTIONS,TUS,11,40.427772,-81.363719
BOTH DIRECTIONS,SUM,4,41.062279,-81.517469
BOTH DIRECTIONS,WAS,10,39.579369,-81.649568
BOTH DIRECTIONS,MOT,7,39.74131,-84.204315
BOTH DIRECTIONS,GEA,12,41.384533,-81.132655
BOTH DIRECTIONS,WAR,8,39.430098,-84.078778
BOTH DIRECTIONS,GRE,8,39.819634,-84.072593
BOTH DIRECTIONS,STA,4,40.666794,-81.247563
BOTH DIRECTIONS,MOE,10,39.779525,-80.861106
BOTH DIRECTIONS,JAC,9,39.130799,-82.43339
BOTH DIRECTIONS,ATH,10,39.396357,-82.136212
BOTH DIRECTIONS,PIK,9,39.088703,-83.134713
BOTH DIRECTIONS,CUY,12,41.461845,-81.694733
BOTH DIRECTIONS,POR,4,41.239671,-81.367423
BOTH DIRECTIONS,CUY,12,41.416467,-81.623724
BOTH DIRECTIONS,LUC,2,41.688338,-83.561895
WESTBOUND,FRA,6,39.954606,-82.976859
BOTH DIRECTIONS,CUY,12,41.494354,-81.615193
