State,Number of drivers involved in fatal collisions per billion miles
Alabama,18.8
Alaska,18.1
Arizona,18.6
Arkansas,22.4
California,12
Colorado,13.6
Connecticut,10.8
Delaware,16.2
District of Columbia,5.9
Florida,17.9
Georgia,15.6
Hawaii,17.5
Idaho,15.3
Illinois,12.8
Indiana,14.5
Iowa,15.7
Kansas,17.8
Kentucky,21.4
Louisiana,20.5
Maine,15.1
Maryland,12.5
Massachusetts,8.2
Michigan,14.1
Minnesota,9.6
Mississippi,17.6
Missouri,16.1
Montana,21.4
Nebraska,14.9
Nevada,14.7
New Hampshire,11.6
New Jersey,11.2
New Mexico,18.4
New York,12.3
North Carolina,16.8
North Dakota,23.9
Ohio,14.1
Oklahoma,19.9
Oregon,12.8
Pennsylvania,18.2
Rhode Island,11.1
South Carolina,23.9
South Dakota,19.4
Tennessee,19.5
Texas,19.4
Utah,11.3
Vermont,13.6
Virginia,12.7
Washington,10.6
West Virginia,23.8
Wisconsin,13.8
Wyoming,17.4
