Car Insurance Premiums ($),Losses incurred by insurance companies for collisions per insured driver ($)
784.55,145.08
1053.48,133.93
899.47,110.35
827.34,142.39
878.41,165.63
835.5,139.91
1068.73,167.02
1137.87,151.48
1273.89,136.05
1160.13,144.18
913.15,142.8
861.18,120.92
641.96,82.75
803.11,139.15
710.46,108.92
649.06,114.47
780.45,133.8
872.51,137.13
1281.55,194.78
661.88,96.57
1048.78,192.7
1011.14,135.63
1110.61,152.26
777.18,133.35
896.07,155.77
790.32,144.45
816.21,85.15
732.28,114.82
1029.87,138.71
746.54,120.21
1301.52,159.85
869.85,120.75
1234.31,150.01
708.24,127.82
688.75,109.72
697.73,133.52
881.51,178.86
804.71,104.61
905.99,153.86
1148.99,148.58
858.97,116.29
669.31,96.87
767.91,155.57
1004.75,156.83
809.38,109.48
716.2,109.61
768.95,153.72
890.03,111.62
992.61,152.56
670.31,106.62
791.14,122.04
