State,Number of drivers involved in fatal collisions per billion miles,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding
Alabama,18.8,39
Alaska,18.1,41
Arizona,18.6,35
Arkansas,22.4,18
California,12,35
Colorado,13.6,37
Connecticut,10.8,46
Delaware,16.2,38
District of Columbia,5.9,34
Florida,17.9,21
Georgia,15.6,19
Hawaii,17.5,54
Idaho,15.3,36
Illinois,12.8,36
Indiana,14.5,25
Iowa,15.7,17
Kansas,17.8,27
Kentucky,21.4,19
Louisiana,20.5,35
Maine,15.1,38
Maryland,12.5,34
Massachusetts,8.2,23
Michigan,14.1,24
Minnesota,9.6,23
Mississippi,17.6,15
Missouri,16.1,43
Montana,21.4,39
Nebraska,14.9,13
Nevada,14.7,37
New Hampshire,11.6,35
New Jersey,11.2,16
New Mexico,18.4,19
New York,12.3,32
North Carolina,16.8,39
North Dakota,23.9,23
Ohio,14.1,28
Oklahoma,19.9,32
Oregon,12.8,33
Pennsylvania,18.2,50
Rhode Island,11.1,34
South Carolina,23.9,38
South Dakota,19.4,31
Tennessee,19.5,21
Texas,19.4,40
Utah,11.3,43
Vermont,13.6,30
Virginia,12.7,19
Washington,10.6,42
West Virginia,23.8,34
Wisconsin,13.8,36
Wyoming,17.4,42
