Accident Ref No.,Casualty Class,Sex of Casualty
10BA0000011,Driver,Female
10BA0000014,Passenger,Male
10BA0000037,Pedestrian,Female
10BA0000064,Driver,Male
10CA0000023,Driver,Male
10CA0000023,Passenger,Male
10CA0000023,Passenger,Female
10CA0000024,Driver,Male
10CA0000024,Passenger,Male
10CA0000024,Passenger,Male
10CA0000024,Passenger,Male
10CA0000026,Driver,Male
10CA0000038,Driver,Male
10CA0000038,Driver,Male
10BA0000071,Driver,Male
10BA0000071,Passenger,Female
10CA0000039,Driver,Male
10CA0000039,Passenger,Female
10CA0000040,Driver,Male
10CA0000040,Passenger,Female
10CA0000203,Passenger,Female
10CA0000203,Passenger,Female
10CA0000203,Passenger,Female
10AA0000097,Driver,Male
10AA0000097,Driver,Female
10AA0000200,Passenger,Male
10AA0000200,Passenger,Male
10BA0000020,Driver,Male
10BA0000162,Pedestrian,Female
10CA0000035,Driver,Female
10AA0000089,Driver,Female
10AA0000089,Driver,Female
10AA0000116,Driver,Male
10AA0000116,Driver,Female
10BA0000140,Driver,Male
10BA0000140,Passenger,Male
10BA0000140,Passenger,Female
10BA0000140,Passenger,Male
10BA0000145,Pedestrian,Female
10BA0000133,Driver,Male
10BA0000133,Driver,Female
10AA0000122,Passenger,Male
10AA0000180,Passenger,Male
10AA0000579,Passenger,Female
10AA0000093,Driver,Male
10AA0000151,Passenger,Male
10BA0000123,Driver,Male
10BA0000123,Passenger,Female
10CA0000303,Pedestrian,Male
10AA0000117,Driver,Male
10AA0000117,Driver,Male
10AA0000386,Pedestrian,Male
10BA0000195,Driver,Male
10BA0000195,Driver,Male
10BA0000195,Passenger,Female
10BA0000195,Passenger,Male
10BA0000195,Passenger,Male
10BA0000195,Passenger,Male
10CA0000193,Driver,Male
10AA0000155,Passenger,Female
10AA0000157,Pedestrian,Female
10AA0000157,Pedestrian,Female
10AA0000157,Pedestrian,Female
10BA0000224,Driver,Male
10BA0000236,Pedestrian,Female
10CA0000298,Driver,Male
10CA0000444,Passenger,Female
10CA0000444,Passenger,Female
10CA0000444,Passenger,Male
10AA0000204,Pedestrian,Male
10AA0000395,Driver,Male
10CA0000267,Driver,Male
10MU0000265,Driver,Male
10AA0000275,Driver,Male
10AA0000275,Passenger,Male
10BA0000256,Passenger,Male
10BA0000385,Driver,Male
10CA0000317,Driver,Male
10CA0001024,Driver,Male
10BA0000322,Driver,Male
10BA0000388,Driver,Male
10BA0000384,Passenger,Female
10BA0000555,Pedestrian,Female
10CA0000326,Passenger,Male
10CA0000391,Pedestrian,Male
10AA0000302,Driver,Male
10AA0000338,Driver,Male
10BA0000406,Pedestrian,Female
10CA0000332,Passenger,Female
10MU0000431,Driver,Female
10BA0000381,Pedestrian,Female
10AA0000397,Driver,Male
10AA0000397,Driver,Male
10AA0000400,Driver,Female
10AA0000677,Driver,Female
10BA0000494,Driver,Female
10CA0000435,Driver,Male
10MU0000428,Driver,Male
10AA0000450,Driver,Male
10MU0000429,Driver,Female
10AA0000480,Driver,Male
10AA0000567,Passenger,Female
10BA0000493,Driver,Male
10CA0000451,Driver,Male
10AA0000457,Pedestrian,Female
10AA0000474,Driver,Female
10AA0000486,Driver,Male
10CA0000481,Pedestrian,Female
10CA0000522,Driver,Male
10CA0000541,Driver,Male
10AA0000488,Driver,Female
10AA0000602,Passenger,Female
10BA0005204,Driver,Female
10BA0005204,Driver,Male
10CA0000500,Passenger,Female
10CA0000520,Driver,Male
10CA0000520,Passenger,Male
10CA0000536,Driver,Male
10CA0000538,Pedestrian,Male
10CA0000542,Passenger,Female
10MU0000551,Driver,Male
10MU0000551,Passenger,Female
10MU0000661,Driver,Male
10MU0000698,Driver,Male
10AA0000533,Driver,Male
10AA0000556,Driver,Male
10BA0000543,Driver,Male
10CA0000504,Pedestrian,Male
10CA0000531,Driver,Female
10AA0000491,Driver,Male
10AA0000491,Passenger,Female
10BA0000517,Driver,Male
10CA0000558,Driver,Female
10CA0000558,Passenger,Female
10AA0000637,Driver,Female
10BA0000789,Driver,Female
10MU0000645,Driver,Female
10AA0000604,Driver,Male
10AA0000614,Driver,Female
10BA0000606,Driver,Female
10BA0000606,Passenger,Female
10CA0000640,Driver,Male
10CA0000618,Pedestrian,Male
10CA0000646,Driver,Female
10CA0000646,Driver,Male
10CA0000646,Passenger,Male
10CA0000739,Driver,Male
10CA0000739,Driver,Male
10MU0000616,Driver,Male
10BA0000619,Driver,Female
10BA0000676,Passenger,Female
10BA0000676,Passenger,Female
10BA0000708,Driver,Male
10BA0000708,Driver,Male
10BA0000708,Passenger,Female
10BA0000708,Passenger,Male
10BA0000708,Passenger,Male
10BA0000710,Driver,Female
10AA0000631,Pedestrian,Male
10AA0000631,Pedestrian,Female
10AA0000644,Driver,Female
10AA0000668,Passenger,Male
10AA0000668,Passenger,Female
10CA0000656,Driver,Female
10CA0000674,Passenger,Female
10CA0000689,Pedestrian,Female
10CA0000791,Driver,Male
10MU0000709,Driver,Female
10AA0000733,Driver,Male
10AA0000847,Driver,Male
10BA0000666,Driver,Female
10BA0000693,Pedestrian,Male
10MU0000841,Driver,Male
10BA0000694,Driver,Female
10BA0000703,Driver,Male
10BA0000760,Driver,Female
10BA0000760,Passenger,Male
10CA0000678,Driver,Male
10MU0000855,Driver,Female
10AA0000714,Driver,Female
10AA0001017,Pedestrian,Female
10AA0001543,Driver,Male
10AA0001543,Driver,Female
10BA0000662,Driver,Male
10BA0000662,Passenger,Female
10BA0000748,Pedestrian,Female
10CA0000731,Pedestrian,Male
10CA0000740,Passenger,Female
10CA0000740,Passenger,Female
10AA0000794,Pedestrian,Female
10AA0000811,Pedestrian,Male
10AA0000825,Driver,Female
10AA0000891,Driver,Female
10AA0000891,Driver,Male
10BA0000759,Driver,Male
10BA0000759,Passenger,Female
10BA0000761,Driver,Male
10CA0000826,Driver,Male
10MU0000956,Driver,Male
10AA0000838,Driver,Male
10AA0000854,Driver,Female
10AA0001076,Driver,Male
10AA0001207,Driver,Male
10AA0001207,Driver,Male
10AA0001207,Passenger,Female
10AA0001224,Driver,Male
10AA0001224,Driver,Female
10BA0000807,Driver,Female
10BA0005199,Driver,Male
10CA0000810,Pedestrian,Male
10MU0000948,Driver,Female
10BA0000951,Driver,Male
10BA0000951,Driver,Female
10CA0000783,Driver,Male
10CA0000845,Driver,Male
10CA0000845,Passenger,Female
10CA0000845,Passenger,Male
10CA0000845,Passenger,Male
10MU0001027,Driver,Male
10MU0001027,Driver,Male
10MU0001027,Driver,Male
10MU0001027,Passenger,Male
10AA0001013,Pedestrian,Female
10AA0001071,Pedestrian,Male
10AA0001102,Pedestrian,Male
10AA0001603,Driver,Male
10AA0001603,Passenger,Male
10BA0000832,Driver,Male
10BA0001192,Driver,Male
