State,Type,Severity,StartTime(UTC)
Alabama,Rain,Light,8/1/2016 0:16
Alaska,Rain,Light,8/1/2016 1:16
Arizona,Rain,Light,8/1/2016 1:56
Arkansas,Rain,Light,8/1/2016 2:36
California,Rain,Light,8/1/2016 4:36
Colorado,Rain,Light,8/1/2016 5:16
Connecticut,Rain,Light,8/1/2016 6:16
Delaware,Rain,Light,8/1/2016 23:56
District of Columbia,Rain,Light,8/3/2016 0:16
Florida,Rain,Light,8/3/2016 2:16
Georgia,Rain,Light,8/3/2016 2:56
Hawaii,Rain,Light,8/3/2016 20:56
Idaho,Rain,Light,8/3/2016 22:56
Illinois,Rain,Light,8/4/2016 3:36
Indiana,Rain,Light,8/4/2016 6:56
Iowa,Rain,Light,8/4/2016 18:16
Kansas,Rain,Light,8/4/2016 20:36
Kentucky,Rain,Light,8/5/2016 7:16
Louisiana,Rain,Light,8/5/2016 10:36
Maine,Rain,Light,8/5/2016 18:36
Maryland,Rain,Light,8/5/2016 21:16
Massachusetts,Rain,Light,8/5/2016 22:56
Michigan,Rain,Light,8/6/2016 1:16
Minnesota,Rain,Light,8/6/2016 2:36
Mississippi,Rain,Light,8/6/2016 4:16
Missouri,Rain,Light,8/6/2016 5:16
Montana,Rain,Light,8/6/2016 7:36
Nebraska,Rain,Moderate,10/7/2016 18:15
Nevada,Rain,Heavy,10/7/2016 18:35
New Hampshire,Precipitation,UNK,10/7/2016 18:55
New Jersey,Rain,Light,10/7/2016 19:15
New Mexico,Fog,Moderate,10/11/2016 18:35
New York,Rain,Light,10/12/2016 22:15
North Carolina,Rain,Light,10/14/2016 12:35
North Dakota,Rain,Light,10/14/2016 13:15
Ohio,Rain,Moderate,10/14/2016 13:35
Oklahoma,Rain,Light,10/14/2016 14:15
Oregon,Rain,Light,10/20/2016 10:55
Pennsylvania,Rain,Light,10/20/2016 12:15
Rhode Island,Rain,Moderate,10/20/2016 12:35
South Carolina,Fog,Moderate,10/20/2016 18:15
South Dakota,Fog,Moderate,10/21/2016 0:15
Tennessee,Fog,Moderate,10/21/2016 20:15
Texas,Fog,Moderate,10/21/2016 21:15
Utah,Rain,Light,10/24/2016 0:55
Vermont,Rain,Light,11/3/2016 6:15
Virginia,Rain,Light,11/3/2016 8:35
Washington,Rain,Moderate,11/3/2016 8:55
West Virginia,Rain,Heavy,11/3/2016 9:15
Wisconsin,Rain,Light,11/3/2016 10:15
Wyoming,Rain,Light,11/3/2016 10:55
,Rain,Light,11/3/2016 13:35
,Rain,Moderate,11/3/2016 13:55
,Rain,Light,11/3/2016 14:15
,Rain,Moderate,11/3/2016 14:35
,Rain,Light,11/3/2016 15:15
,Rain,Moderate,11/3/2016 15:35
,Fog,Moderate,10/10/2017 15:53
,Rain,Light,10/11/2017 17:44
,Fog,Moderate,10/12/2017 18:53
,Fog,Moderate,10/16/2017 18:53
,Fog,Severe,10/17/2017 13:20
,Fog,Severe,10/18/2017 12:29
,Fog,Severe,10/18/2017 14:53
,Fog,Severe,10/18/2017 16:39
,Rain,Light,10/19/2017 3:19
,Rain,Light,10/19/2017 4:24
,Rain,Light,10/19/2017 7:30
,Rain,Light,10/19/2017 7:58
,Rain,Light,10/19/2017 22:53
,Rain,Moderate,10/19/2017 23:53
,Fog,Severe,10/20/2017 0:40
,Rain,Heavy,10/20/2017 0:53
,Rain,Moderate,10/20/2017 1:15
,Rain,Heavy,10/20/2017 1:31
,Rain,Moderate,10/20/2017 2:53
,Rain,Light,10/20/2017 5:53
,Rain,Light,10/20/2017 7:25
,Rain,Light,10/20/2017 11:53
,Rain,Light,10/20/2017 13:53
,Rain,Light,10/20/2017 16:13
,Rain,Light,10/20/2017 17:40
,Fog,Moderate,10/20/2017 19:53
,Fog,Moderate,10/21/2017 1:53
,Rain,Light,10/21/2017 12:53
,Rain,Light,10/21/2017 16:24
,Rain,Light,10/21/2017 19:53
,Rain,Light,10/21/2017 22:53
,Rain,Light,10/22/2017 5:03
,Fog,Moderate,10/22/2017 23:53
,Fog,Severe,10/23/2017 15:38
,Fog,Severe,10/23/2017 18:00
,Fog,Moderate,10/23/2017 19:53
,Fog,Moderate,10/23/2017 21:53
,Fog,Severe,10/24/2017 18:45
,Fog,Moderate,10/24/2017 19:46
,Fog,Moderate,10/24/2017 23:53
,Fog,Moderate,10/25/2017 3:53
,Fog,Severe,10/25/2017 9:06
,Fog,Severe,10/25/2017 13:47
,Fog,Severe,10/25/2017 16:45
,Fog,Severe,10/25/2017 19:22
,Fog,Severe,10/25/2017 20:03
,Fog,Moderate,10/25/2017 22:53
,Fog,Moderate,10/26/2017 0:53
,Fog,Severe,10/26/2017 15:12
,Fog,Severe,10/26/2017 18:28
,Fog,Severe,10/26/2017 21:41
,Fog,Severe,10/26/2017 22:26
,Fog,Severe,10/27/2017 2:23
,Fog,Severe,10/27/2017 8:07
,Fog,Severe,10/27/2017 9:33
,Fog,Severe,10/27/2017 12:36
,Fog,Severe,10/27/2017 22:00
,Fog,Severe,10/28/2017 14:46
,Fog,Severe,10/28/2017 15:53
,Fog,Severe,10/29/2017 11:57
,Rain,Light,10/29/2017 16:31
,Fog,Severe,11/1/2017 0:47
,Fog,Severe,11/1/2017 8:25
,Fog,Severe,11/1/2017 12:53
,Fog,Severe,11/1/2017 14:13
,Rain,Light,11/3/2017 1:05
,Rain,Light,11/3/2017 4:53
,Rain,Light,11/3/2017 7:14
,Rain,Moderate,11/3/2017 8:53
,Rain,Light,11/3/2017 9:17
,Rain,Moderate,11/3/2017 9:38
,Rain,Light,11/3/2017 10:04
,Rain,Moderate,11/3/2017 10:51
,Rain,Light,11/3/2017 11:18
,Rain,Moderate,11/3/2017 11:38
,Rain,Light,11/3/2017 12:23
,Rain,Moderate,11/3/2017 12:45
,Rain,Light,11/3/2017 13:05
,Rain,Moderate,11/3/2017 13:16
,Rain,Light,11/3/2017 14:02
,Rain,Moderate,11/3/2017 15:40
,Rain,Light,11/3/2017 16:03
,Rain,Light,11/3/2017 21:53
,Fog,Severe,11/4/2017 4:49
,Fog,Severe,11/4/2017 7:01
,Fog,Severe,11/4/2017 7:23
,Fog,Severe,11/4/2017 9:24
,Rain,Light,11/5/2017 14:53
,Rain,Light,11/5/2017 18:03
,Rain,Light,11/5/2017 20:53
,Rain,Light,11/6/2017 0:53
,Rain,Light,11/6/2017 4:21
,Rain,Moderate,11/6/2017 4:31
,Rain,Light,11/8/2017 16:53
,Rain,Light,11/8/2017 19:53
,Rain,Moderate,11/8/2017 20:53
,Rain,Light,11/8/2017 21:53
