State,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents,Car Insurance Premiums ($),Losses incurred by insurance companies for collisions per insured driver ($)
Alabama,80,784.55,145.08
Alaska,94,1053.48,133.93
Arizona,96,899.47,110.35
Arkansas,95,827.34,142.39
California,89,878.41,165.63
Colorado,95,835.5,139.91
Connecticut,82,1068.73,167.02
Delaware,99,1137.87,151.48
District of Columbia,100,1273.89,136.05
Florida,94,1160.13,144.18
Georgia,93,913.15,142.8
Hawaii,87,861.18,120.92
Idaho,98,641.96,82.75
Illinois,96,803.11,139.15
Indiana,95,710.46,108.92
Iowa,87,649.06,114.47
Kansas,85,780.45,133.8
Kentucky,76,872.51,137.13
Louisiana,98,1281.55,194.78
Maine,84,661.88,96.57
Maryland,99,1048.78,192.7
Massachusetts,80,1011.14,135.63
Michigan,77,1110.61,152.26
Minnesota,88,777.18,133.35
Mississippi,100,896.07,155.77
Missouri,84,790.32,144.45
Montana,85,816.21,85.15
Nebraska,90,732.28,114.82
Nevada,99,1029.87,138.71
New Hampshire,83,746.54,120.21
New Jersey,78,1301.52,159.85
New Mexico,98,869.85,120.75
New York,80,1234.31,150.01
North Carolina,81,708.24,127.82
North Dakota,86,688.75,109.72
Ohio,82,697.73,133.52
Oklahoma,94,881.51,178.86
Oregon,90,804.71,104.61
Pennsylvania,88,905.99,153.86
Rhode Island,79,1148.99,148.58
South Carolina,81,858.97,116.29
South Dakota,86,669.31,96.87
Tennessee,81,767.91,155.57
Texas,87,1004.75,156.83
Utah,96,809.38,109.48
Vermont,95,716.2,109.61
Virginia,88,768.95,153.72
Washington,86,890.03,111.62
West Virginia,87,992.61,152.56
Wisconsin,84,670.31,106.62
Wyoming,90,791.14,122.04
