ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS
RC1,2020-01-06T00:00:00.000Z,2020-03-09T00:00:00.000Z,1715 DIXIE HWY
RC2,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,729 W EVELYN AVE
RC3,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,2139 DIXIE HWY
RC4,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 ZANE ST
RC5,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,508 DAVIES AVE
RC6,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1464 S 9TH ST
RC7,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1620 S 7TH ST
RC8,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,434 W JEFFERSON ST
RC9,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,903 W MAGNOLIA AVE
RC10,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1103 W HILL ST
RC11,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1228 QUALITY CHOICE PL
RC12,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,313 S 4TH ST
RC13,2020-01-13T00:00:00.000Z,2020-03-01T00:00:00.000Z,200 S 7TH ST
RC14,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1516 S 12TH ST Unit A
RC15,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,527 W JEFFERSON ST
RC16,2020-02-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,2737 HELM ST
RC17,2020-02-01T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST
RC18,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,139 CABEL ST
RC19,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1668 RICHMOND DR
RC20,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,416 W JEFFERSON ST
RC21,2020-02-20T00:00:00.000Z,2020-03-26T00:00:00.000Z,706 BARRET AVE
RC22,2020-02-17T00:00:00.000Z,2020-03-27T00:00:00.000Z,201 S 4TH ST
RC23,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,420 LONG RUN RD
RC24,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,280 W JEFFERSON ST
RC25,2020-01-27T00:00:00.000Z,2020-04-24T00:00:00.000Z,5411 REGENT WAY
RC26,2020-01-24T00:00:00.000Z,2020-04-27T00:00:00.000Z,8212 KIMBERLY WAY
RC27,2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,2800 S FLOYD ST
RC28,2020-01-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,200 E WASHINGTON ST
RC29,2020-02-18T00:00:00.000Z,2020-04-27T00:00:00.000Z,1121 PHILLIPS LN
RC30,2020-01-21T00:00:00.000Z,2020-04-28T00:00:00.000Z,300 W LIBERTY ST
RC31,2020-01-28T00:00:00.000Z,2020-04-28T00:00:00.000Z,100 E LIBERTY ST
RC32,2020-01-01T00:00:00.000Z,2020-04-30T00:00:00.000Z,1200 ROWAN ST
RC33,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,200 DERBY AVE
RC34,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 DERBY AVE
RC35,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,213 BONNIE LN
RC36,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,211 ALPHA AVE
RC37,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,209 DERBY AVE
RC38,2020-01-14T00:00:00.000Z,2020-04-30T00:00:00.000Z,232 W MUHAMMAD ALI BLVD
RC39,2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,337 E ST CATHERINE ST
RC40,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 W ST CATHERINE ST
RC41,2020-02-14T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST
RC42,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,2700 CRITTENDEN DR
RC43,2020-02-06T00:00:00.000Z,2020-04-30T00:00:00.000Z,1021 S FLOYD ST
RC44,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,307 W WOODLAWN AVE
RC45,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4642 BELLEVUE AVE
RC46,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4901 PEACHTREE AVE
RC47,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,3237 W BROADWAY
RC48,2020-02-12T00:00:00.000Z,2020-04-30T00:00:00.000Z,4541 S 3RD ST
RC49,2020-02-17T00:00:00.000Z,2020-04-30T00:00:00.000Z,2730 LEXINGTON RD
RC50,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,3722 7TH STREET RD
RC51,2020-02-21T00:00:00.000Z,2020-03-27T00:00:00.000Z,1412 TUCKER STATION RD
RC52,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1427 S CLAY ST
