ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS,Local Authority Reference,Works Status,Works Type,Category Of Works
RC1,2020-01-06T00:00:00.000Z,2020-03-09T00:00:00.000Z,1715 DIXIE HWY,LA00422401,WORKS ABANDONED,MAJOR,Streetworks
RC2,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,729 W EVELYN AVE,LA00437737,PROPOSED WORKS,MINOR,Streetworks
RC3,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,2139 DIXIE HWY,LA00434908,PROPOSED WORKS,MAJOR,Streetworks
RC4,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 ZANE ST,LA00434470,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC5,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,508 DAVIES AVE,LA00425158,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC6,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1464 S 9TH ST,LA00429090,PROPOSED WORKS,STANDARD,Streetworks
RC7,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1620 S 7TH ST,LA00431608,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC8,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,434 W JEFFERSON ST,LA00432748,PROPOSED WORKS,MAJOR,Streetworks
RC9,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,903 W MAGNOLIA AVE,LA00436259,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
RC10,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1103 W HILL ST,LA00428657,PROPOSED WORKS,STANDARD,Streetworks
RC11,2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1228 QUALITY CHOICE PL,LA00396596,IN PROGRESS,MAJOR,Streetworks
RC12,2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,313 S 4TH ST,LA00435414,PROPOSED WORKS,MINOR,Streetworks
RC13,2020-01-13T00:00:00.000Z,2020-03-01T00:00:00.000Z,200 S 7TH ST,LA00427405,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence
