ROAD WORK ID,FROM_DATE,Local Authority Reference,Works Type,Category Of Works
RC1,2020-01-06T00:00:00.000Z,LA00422401,MAJOR,Streetworks
RC2,2020-02-24T00:00:00.000Z,LA00437737,MINOR,Streetworks
RC3,2020-01-13T00:00:00.000Z,LA00434908,MAJOR,Streetworks
RC4,2020-01-13T00:00:00.000Z,LA00434470,HIGHWAYS ACT PERMITS,Building Licence
RC5,2020-01-13T00:00:00.000Z,LA00425158,HIGHWAYS ACT PERMITS,Building Licence
RC6,2020-01-13T00:00:00.000Z,LA00429090,STANDARD,Streetworks
RC7,2020-01-13T00:00:00.000Z,LA00431608,HIGHWAYS ACT PERMITS,Building Licence
RC8,2020-02-24T00:00:00.000Z,LA00432748,MAJOR,Streetworks
RC9,2020-02-26T00:00:00.000Z,LA00436259,HIGHWAYS ACT PERMITS,Building Licence
RC10,2020-01-13T00:00:00.000Z,LA00428657,STANDARD,Streetworks
RC11,2020-01-13T00:00:00.000Z,LA00396596,MAJOR,Streetworks
RC12,2020-02-24T00:00:00.000Z,LA00435414,MINOR,Streetworks
RC13,2020-01-13T00:00:00.000Z,LA00427405,HIGHWAYS ACT PERMITS,Building Licence
RC14,2020-01-13T00:00:00.000Z,LA00423616,MAJOR,Streetworks
RC15,2020-02-24T00:00:00.000Z,LA00434861,MAJOR,Streetworks
RC16,2020-02-01T00:00:00.000Z,LA00435434,HIGHWAYS ACT PERMITS,Other
RC17,2020-02-01T00:00:00.000Z,LA00428981,MINOR,Streetworks
RC18,2020-02-26T00:00:00.000Z,LA00399369,MAJOR,Streetworks
RC19,2020-02-26T00:00:00.000Z,LA00437545,MAJOR,Streetworks
RC20,2020-02-24T00:00:00.000Z,LA00434084,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC21,2020-02-20T00:00:00.000Z,LA00417447,MAJOR,Streetworks
RC22,2020-02-17T00:00:00.000Z,LA00429060,STANDARD,Streetworks
RC23,2020-02-17T00:00:00.000Z,LA00430406,MAJOR,Streetworks
RC24,2020-02-24T00:00:00.000Z,LA00378171,MINOR,Streetworks
RC25,2020-01-27T00:00:00.000Z,LA00397644,MAJOR,Streetworks
RC26,2020-01-24T00:00:00.000Z,LA00381737,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC27,2020-01-27T00:00:00.000Z,LA00426293,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC28,2020-01-27T00:00:00.000Z,LA00429651,MAJOR,Streetworks
RC29,2020-02-18T00:00:00.000Z,LA00437100,HIGHWAYS ACT PERMITS,Crane Operation
RC30,2020-01-21T00:00:00.000Z,LA00436199,MINOR,Streetworks
RC31,2020-01-28T00:00:00.000Z,LA00436669,MINOR,Streetworks
RC32,2020-01-01T00:00:00.000Z,LA00436489,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC33,2020-01-14T00:00:00.000Z,LA00434102,MAJOR,Streetworks
RC34,2020-01-14T00:00:00.000Z,LA00437600,MINOR,Streetworks
RC35,2020-01-14T00:00:00.000Z,LA00434694,MINOR,Streetworks
RC36,2020-01-14T00:00:00.000Z,LA00394973,MAJOR,Streetworks
RC37,2020-01-14T00:00:00.000Z,LA00436515,HIGHWAYS ACT PERMITS,Other
RC38,2020-01-14T00:00:00.000Z,LA00416663,HIGHWAYS ACT PERMITS,Building Licence
RC39,2020-02-06T00:00:00.000Z,LA00437064,STANDARD,Streetworks
RC40,2020-01-13T00:00:00.000Z,LA00435757,MAJOR,Streetworks
RC41,2020-02-14T00:00:00.000Z,LA00432754,HIGHWAYS ACT PERMITS,Building Licence
RC42,2020-02-03T00:00:00.000Z,LA00414179,MAJOR,Streetworks
RC43,2020-02-06T00:00:00.000Z,LA00420783,MAJOR,Streetworks
RC44,2020-02-12T00:00:00.000Z,LA00437054,MAJOR,Streetworks
RC45,2020-02-12T00:00:00.000Z,LA00408153,HIGHWAYS ACT PERMITS,Building Licence
RC46,2020-02-12T00:00:00.000Z,LA00421969,MAJOR,Streetworks
RC47,2020-02-12T00:00:00.000Z,LA00430497,MAJOR,Streetworks
RC48,2020-02-12T00:00:00.000Z,LA00424578,HIGHWAYS ACT PERMITS,Building Licence
RC49,2020-02-17T00:00:00.000Z,LA00434097,MAJOR,Streetworks
RC50,2020-02-18T00:00:00.000Z,LA00428725,STANDARD,Streetworks
RC51,2020-02-21T00:00:00.000Z,LA00437808,HIGHWAYS ACT PERMITS,Other
RC52,2020-02-17T00:00:00.000Z,LA00436501,STANDARD,Streetworks
RC53,2020-02-18T00:00:00.000Z,LA00433597,MAJOR,Streetworks
RC54,2020-02-18T00:00:00.000Z,LA00434086,HIGHWAYS ACT PERMITS,Building Licence
RC55,2020-02-18T00:00:00.000Z,LA00436423,MINOR,Streetworks
RC56,2019-12-02T00:00:00.000Z,LA00432628,MAJOR,Streetworks
RC57,2020-02-12T00:00:00.000Z,LA00436663,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC58,2020-02-12T00:00:00.000Z,LA00352027,HIGHWAYS ACT PERMITS,Building Licence
RC59,2020-02-18T00:00:00.000Z,LA00398973,MAJOR,Streetworks
RC60,2020-02-18T00:00:00.000Z,LA00437241,HIGHWAYS ACT PERMITS,Other
RC61,2020-02-21T00:00:00.000Z,LA00432529,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC62,2020-02-26T00:00:00.000Z,LA00435588,HIGHWAYS ACT PERMITS,Other
RC63,2020-02-18T00:00:00.000Z,LA00429505,STANDARD,Streetworks
RC64,2019-12-11T00:00:00.000Z,LA00436461,MINOR,Streetworks
RC65,2020-02-24T00:00:00.000Z,LA00432543,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC66,2019-02-01T00:00:00.000Z,LA00434692,MINOR,Streetworks
RC67,2020-01-20T00:00:00.000Z,LA00375752,HIGHWAYS ACT PERMITS,Building Licence
RC68,2020-01-20T00:00:00.000Z,LA00397638,MAJOR,Streetworks
RC69,2019-12-30T00:00:00.000Z,LA00430828,MAJOR,Streetworks
RC70,2020-02-03T00:00:00.000Z,LA00433110,MAJOR,Streetworks
RC71,2020-02-03T00:00:00.000Z,LA00434505,STANDARD,Streetworks
RC72,2020-02-14T00:00:00.000Z,LA00435470,MAJOR,Streetworks
RC73,2020-02-14T00:00:00.000Z,LA00437506,MINOR,Streetworks
RC74,2020-02-16T00:00:00.000Z,LA00435468,STANDARD,Streetworks
RC75,2020-02-17T00:00:00.000Z,LA00428090,HIGHWAYS ACT PERMITS,Building Licence
RC76,2020-02-10T00:00:00.000Z,LA00437558,HIGHWAYS ACT PERMITS,Building Licence
RC77,2020-02-18T00:00:00.000Z,LA00437395,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC78,2020-02-20T00:00:00.000Z,LA00420768,MAJOR,Streetworks
RC79,2020-02-21T00:00:00.000Z,LA00436516,MAJOR,Streetworks
RC80,2020-02-21T00:00:00.000Z,LA00434599,MAJOR,Streetworks
RC81,2020-01-02T00:00:00.000Z,LA00430492,MAJOR,Streetworks
RC82,2019-10-07T00:00:00.000Z,LA00435443,MINOR,Streetworks
RC83,2019-10-07T00:00:00.000Z,LA00433430,MAJOR,Streetworks
RC84,2020-01-06T00:00:00.000Z,LA00413134,STANDARD,Streetworks
RC85,2020-02-17T00:00:00.000Z,LA00428980,MINOR,Streetworks
RC86,2019-12-11T00:00:00.000Z,LA00434504,MAJOR,Streetworks
RC87,2019-12-26T00:00:00.000Z,LA00418621,MAJOR,Streetworks
RC88,2019-12-31T00:00:00.000Z,LA00436076,STANDARD,Streetworks
RC89,2020-02-03T00:00:00.000Z,LA00389863,MAJOR,Streetworks
RC90,2020-02-19T00:00:00.000Z,LA00437073,MAJOR,Streetworks
RC91,2020-01-13T00:00:00.000Z,LA00428116,HIGHWAYS ACT PERMITS,Building Licence
RC92,2020-02-03T00:00:00.000Z,LA00420758,MAJOR,Streetworks
RC93,2020-02-03T00:00:00.000Z,LA00428063,HIGHWAYS ACT PERMITS,Building Licence
RC94,2020-02-03T00:00:00.000Z,LA00434057,MAJOR,Streetworks
RC95,2020-02-03T00:00:00.000Z,LA00437546,MAJOR,Streetworks
RC96,2020-02-03T00:00:00.000Z,LA00436014,MAJOR,Streetworks
RC97,2020-02-03T00:00:00.000Z,LA00434001,HIGHWAYS ACT PERMITS,Building Licence
RC98,2020-02-03T00:00:00.000Z,LA00431405,HIGHWAYS ACT PERMITS,Other
RC99,2020-02-03T00:00:00.000Z,LA00432212,MINOR,Streetworks
RC100,2020-02-12T00:00:00.000Z,LA00433645,MAJOR,Streetworks
RC101,2020-02-03T00:00:00.000Z,LA00339263,HIGHWAYS ACT PERMITS,Building Licence
RC102,2020-02-03T00:00:00.000Z,LA00428166,MAJOR,Streetworks
RC103,2020-02-03T00:00:00.000Z,LA00437666,STANDARD,Streetworks
RC104,2020-02-03T00:00:00.000Z,LA00434609,MAJOR,Streetworks
RC105,2020-02-10T00:00:00.000Z,LA00436569,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC106,2020-02-10T00:00:00.000Z,LA00431725,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC107,2020-02-24T00:00:00.000Z,LA00433621,STANDARD,Streetworks
RC108,2020-02-24T00:00:00.000Z,LA00434898,MAJOR,Streetworks
RC109,2020-02-24T00:00:00.000Z,LA00436018,MAJOR,Streetworks
RC110,2020-02-24T00:00:00.000Z,LA00436498,STANDARD,Streetworks
RC111,2020-02-24T00:00:00.000Z,LA00436378,MINOR,Streetworks
RC112,2020-02-26T00:00:00.000Z,LA00429797,HIGHWAYS ACT PERMITS,Building Licence
RC113,2020-02-17T00:00:00.000Z,LA00426886,MAJOR,Streetworks
RC114,2020-02-07T00:00:00.000Z,LA00436369,STANDARD,Streetworks
RC115,2020-02-10T00:00:00.000Z,LA00433114,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC116,2020-02-18T00:00:00.000Z,LA00422005,MAJOR,Streetworks
RC117,2020-02-21T00:00:00.000Z,LA00435233,MAJOR,Streetworks
RC118,2020-02-17T00:00:00.000Z,LA00427955,MAJOR,Streetworks
