Local Authority Reference,Works Status,Works Type,Category Of Works,Accident Ref No.,Casualty Class
LA00422401,WORKS ABANDONED,MAJOR,Streetworks,10BA0000011,Driver
LA00437737,PROPOSED WORKS,MINOR,Streetworks,10BA0000014,Passenger
LA00434908,PROPOSED WORKS,MAJOR,Streetworks,10BA0000037,Pedestrian
LA00434470,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10BA0000064,Driver
LA00425158,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000023,Driver
LA00429090,PROPOSED WORKS,STANDARD,Streetworks,10CA0000023,Passenger
LA00431608,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000023,Passenger
LA00432748,PROPOSED WORKS,MAJOR,Streetworks,10CA0000024,Driver
LA00436259,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000024,Passenger
LA00428657,PROPOSED WORKS,STANDARD,Streetworks,10CA0000024,Passenger
LA00396596,IN PROGRESS,MAJOR,Streetworks,10CA0000024,Passenger
LA00435414,PROPOSED WORKS,MINOR,Streetworks,10CA0000026,Driver
LA00427405,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,10CA0000038,Driver
LA00423616,PROPOSED WORKS,MAJOR,Streetworks,10CA0000038,Driver
LA00434861,PROPOSED WORKS,MAJOR,Streetworks,10BA0000071,Driver
LA00435434,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Other,10BA0000071,Passenger
LA00428981,PROPOSED WORKS,MINOR,Streetworks,10CA0000039,Driver
LA00399369,WORKS ABANDONED,MAJOR,Streetworks,10CA0000039,Passenger
LA00437545,PROPOSED WORKS,MAJOR,Streetworks,10CA0000040,Driver
LA00434084,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000040,Passenger
LA00417447,PROPOSED WORKS,MAJOR,Streetworks,10CA0000203,Passenger
LA00429060,PROPOSED WORKS,STANDARD,Streetworks,10CA0000203,Passenger
LA00430406,IN PROGRESS,MAJOR,Streetworks,10CA0000203,Passenger
LA00378171,PROPOSED WORKS,MINOR,Streetworks,10AA0000097,Driver
LA00397644,PROPOSED WORKS,MAJOR,Streetworks,10AA0000097,Driver
LA00381737,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000200,Passenger
LA00426293,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000200,Passenger
LA00429651,PROPOSED WORKS,MAJOR,Streetworks,10BA0000020,Driver
LA00437100,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Crane Operation,10BA0000162,Pedestrian
LA00436199,PROPOSED WORKS,MINOR,Streetworks,10CA0000035,Driver
LA00436669,PROPOSED WORKS,MINOR,Streetworks,10AA0000089,Driver
LA00436489,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10AA0000089,Driver
LA00434102,PROPOSED WORKS,MAJOR,Streetworks,10AA0000116,Driver
LA00437600,PROPOSED WORKS,MINOR,Streetworks,10AA0000116,Driver
