Type,Severity,Accident Ref No.,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
Rain,Light,10BA0000011,Driver,Slight,Female,62
Rain,Light,10BA0000014,Passenger,Slight,Male,36
Rain,Light,10BA0000037,Pedestrian,Slight,Female,34
Rain,Light,10BA0000064,Driver,Slight,Male,27
Rain,Light,10CA0000023,Driver,Slight,Male,18
Rain,Light,10CA0000023,Passenger,Slight,Male,20
Rain,Light,10CA0000023,Passenger,Slight,Female,21
Rain,Light,10CA0000024,Driver,Slight,Male,19
Rain,Light,10CA0000024,Passenger,Slight,Male,18
Rain,Light,10CA0000024,Passenger,Slight,Male,19
Rain,Light,10CA0000024,Passenger,Slight,Male,21
Rain,Light,10CA0000026,Driver,Slight,Male,26
Rain,Light,10CA0000038,Driver,Slight,Male,26
Rain,Light,10CA0000038,Driver,Slight,Male,38
Rain,Light,10BA0000071,Driver,Slight,Male,20
Rain,Light,10BA0000071,Passenger,Slight,Female,18
Rain,Light,10CA0000039,Driver,Slight,Male,67
Rain,Light,10CA0000039,Passenger,Slight,Female,64
Rain,Light,10CA0000040,Driver,Slight,Male,20
Rain,Light,10CA0000040,Passenger,Slight,Female,18
Rain,Light,10CA0000203,Passenger,Slight,Female,36
Rain,Light,10CA0000203,Passenger,Slight,Female,9
Rain,Light,10CA0000203,Passenger,Slight,Female,17
Rain,Light,10AA0000097,Driver,Slight,Male,39
Rain,Light,10AA0000097,Driver,Slight,Female,57
Rain,Light,10AA0000200,Passenger,Slight,Male,19
Rain,Light,10AA0000200,Passenger,Slight,Male,20
Rain,Moderate,10BA0000020,Driver,Slight,Male,35
Rain,Heavy,10BA0000162,Pedestrian,Slight,Female,17
Precipitation,UNK,10CA0000035,Driver,Slight,Female,20
Rain,Light,10AA0000089,Driver,Slight,Female,30
Fog,Moderate,10AA0000089,Driver,Slight,Female,46
Rain,Light,10AA0000116,Driver,Slight,Male,30
Rain,Light,10AA0000116,Driver,Slight,Female,33
Rain,Light,10BA0000140,Driver,Slight,Male,19
Rain,Moderate,10BA0000140,Passenger,Slight,Male,4
Rain,Light,10BA0000140,Passenger,Slight,Female,20
Rain,Light,10BA0000140,Passenger,Slight,Male,18
Rain,Light,10BA0000145,Pedestrian,Slight,Female,8
Rain,Moderate,10BA0000133,Driver,Slight,Male,59
Fog,Moderate,10BA0000133,Driver,Slight,Female,23
Fog,Moderate,10AA0000122,Passenger,Slight,Male,6
Fog,Moderate,10AA0000180,Passenger,Slight,Male,82
Fog,Moderate,10AA0000579,Passenger,Slight,Female,60
Rain,Light,10AA0000093,Driver,Slight,Male,40
Rain,Light,10AA0000151,Passenger,Slight,Male,30
Rain,Light,10BA0000123,Driver,Slight,Male,35
Rain,Moderate,10BA0000123,Passenger,Slight,Female,26
Rain,Heavy,10CA0000303,Pedestrian,Slight,Male,24
Rain,Light,10AA0000117,Driver,Slight,Male,22
Rain,Light,10AA0000117,Driver,Slight,Male,40
Rain,Light,10AA0000386,Pedestrian,Slight,Male,26
Rain,Moderate,10BA0000195,Driver,Slight,Male,53
Rain,Light,10BA0000195,Driver,Slight,Male,23
Rain,Moderate,10BA0000195,Passenger,Slight,Female,40
Rain,Light,10BA0000195,Passenger,Slight,Male,22
Rain,Moderate,10BA0000195,Passenger,Slight,Male,15
Fog,Moderate,10BA0000195,Passenger,Slight,Male,21
Rain,Light,10CA0000193,Driver,Slight,Male,24
Fog,Moderate,10AA0000155,Passenger,Slight,Female,61
Fog,Moderate,10AA0000157,Pedestrian,Slight,Female,7
Fog,Severe,10AA0000157,Pedestrian,Slight,Female,33
Fog,Severe,10AA0000157,Pedestrian,Slight,Female,5
Fog,Severe,10BA0000224,Driver,Slight,Male,26
Fog,Severe,10BA0000236,Pedestrian,Slight,Female,51
Rain,Light,10CA0000298,Driver,Serious,Male,19
Rain,Light,10CA0000444,Passenger,Slight,Female,82
Rain,Light,10CA0000444,Passenger,Slight,Female,56
Rain,Light,10CA0000444,Passenger,Slight,Male,19
Rain,Light,10AA0000204,Pedestrian,Serious,Male,93
Rain,Moderate,10AA0000395,Driver,Slight,Male,35
Fog,Severe,10CA0000267,Driver,Slight,Male,46
Rain,Heavy,10MU0000265,Driver,Slight,Male,28
Rain,Moderate,10AA0000275,Driver,Slight,Male,28
Rain,Heavy,10AA0000275,Passenger,Slight,Male,25
Rain,Moderate,10BA0000256,Passenger,Slight,Male,19
Rain,Light,10BA0000385,Driver,Slight,Male,32
Rain,Light,10CA0000317,Driver,Slight,Male,39
Rain,Light,10CA0001024,Driver,Slight,Male,25
Rain,Light,10BA0000322,Driver,Slight,Male,61
Rain,Light,10BA0000388,Driver,Serious,Male,16
Rain,Light,10BA0000384,Passenger,Slight,Female,14
Fog,Moderate,10BA0000555,Pedestrian,Slight,Female,17
Fog,Moderate,10CA0000326,Passenger,Slight,Male,62
Rain,Light,10CA0000391,Pedestrian,Slight,Male,44
Rain,Light,10AA0000302,Driver,Serious,Male,25
Rain,Light,10AA0000338,Driver,Slight,Male,59
Rain,Light,10BA0000406,Pedestrian,Slight,Female,36
Rain,Light,10CA0000332,Passenger,Slight,Female,14
Fog,Moderate,10MU0000431,Driver,Slight,Female,23
Fog,Severe,10BA0000381,Pedestrian,Slight,Female,16
Fog,Severe,10AA0000397,Driver,Slight,Male,35
Fog,Moderate,10AA0000397,Driver,Slight,Male,43
Fog,Moderate,10AA0000400,Driver,Slight,Female,22
Fog,Severe,10AA0000677,Driver,Slight,Female,48
Fog,Moderate,10BA0000494,Driver,Slight,Female,67
Fog,Moderate,10CA0000435,Driver,Slight,Male,31
Fog,Moderate,10MU0000428,Driver,Slight,Male,39
Fog,Severe,10AA0000450,Driver,Slight,Male,36
Fog,Severe,10MU0000429,Driver,Slight,Female,58
Fog,Severe,10AA0000480,Driver,Slight,Male,46
Fog,Severe,10AA0000567,Passenger,Slight,Female,20
Fog,Severe,10BA0000493,Driver,Serious,Male,30
Fog,Moderate,10CA0000451,Driver,Slight,Male,37
Fog,Moderate,10AA0000457,Pedestrian,Slight,Female,13
Fog,Severe,10AA0000474,Driver,Slight,Female,38
Fog,Severe,10AA0000486,Driver,Slight,Male,32
Fog,Severe,10CA0000481,Pedestrian,Serious,Female,13
Fog,Severe,10CA0000522,Driver,Serious,Male,55
Fog,Severe,10CA0000541,Driver,Slight,Male,57
Fog,Severe,10AA0000488,Driver,Slight,Female,49
Fog,Severe,10AA0000602,Passenger,Slight,Female,32
Fog,Severe,10BA0005204,Driver,Slight,Female,22
Fog,Severe,10BA0005204,Driver,Slight,Male,47
Fog,Severe,10CA0000500,Passenger,Slight,Female,22
Fog,Severe,10CA0000520,Driver,Slight,Male,25
Fog,Severe,10CA0000520,Passenger,Serious,Male,29
Rain,Light,10CA0000536,Driver,Slight,Male,31
Fog,Severe,10CA0000538,Pedestrian,Slight,Male,30
Fog,Severe,10CA0000542,Passenger,Slight,Female,52
Fog,Severe,10MU0000551,Driver,Slight,Male,43
Fog,Severe,10MU0000551,Passenger,Slight,Female,38
Rain,Light,10MU0000661,Driver,Slight,Male,21
Rain,Light,10MU0000698,Driver,Slight,Male,28
Rain,Light,10AA0000533,Driver,Slight,Male,21
Rain,Moderate,10AA0000556,Driver,Slight,Male,49
Rain,Light,10BA0000543,Driver,Slight,Male,27
Rain,Moderate,10CA0000504,Pedestrian,Serious,Male,19
Rain,Light,10CA0000531,Driver,Slight,Female,24
Rain,Moderate,10AA0000491,Driver,Slight,Male,86
Rain,Light,10AA0000491,Passenger,Slight,Female,86
Rain,Moderate,10BA0000517,Driver,Slight,Male,42
Rain,Light,10CA0000558,Driver,Slight,Female,24
Rain,Moderate,10CA0000558,Passenger,Slight,Female,23
Rain,Light,10AA0000637,Driver,Slight,Female,37
Rain,Moderate,10BA0000789,Driver,Slight,Female,52
Rain,Light,10MU0000645,Driver,Slight,Female,18
Rain,Moderate,10AA0000604,Driver,Slight,Male,23
Rain,Light,10AA0000614,Driver,Slight,Female,47
Rain,Light,10BA0000606,Driver,Slight,Female,43
Fog,Severe,10BA0000606,Passenger,Slight,Female,10
Fog,Severe,10CA0000640,Driver,Serious,Male,45
Fog,Severe,10CA0000618,Pedestrian,Slight,Male,40
Fog,Severe,10CA0000646,Driver,Slight,Female,29
Rain,Light,10CA0000646,Driver,Slight,Male,56
Rain,Light,10CA0000646,Passenger,Slight,Male,22
