Type,Severity,StartTime(UTC),EndTime(UTC),Road/Highway,County,ZipCode
Rain,Light,8/1/2016 0:16,8/1/2016 0:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 1:16,8/1/2016 1:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 1:56,8/1/2016 2:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 2:36,8/1/2016 2:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 4:36,8/1/2016 4:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 5:16,8/1/2016 5:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 6:16,8/1/2016 6:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/1/2016 23:56,8/2/2016 0:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/3/2016 0:16,8/3/2016 1:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/3/2016 2:16,8/3/2016 2:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/3/2016 2:56,8/3/2016 3:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/3/2016 20:56,8/3/2016 22:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/3/2016 22:56,8/3/2016 23:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/4/2016 3:36,8/4/2016 4:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/4/2016 6:56,8/4/2016 7:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/4/2016 18:16,8/4/2016 18:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/4/2016 20:36,8/4/2016 21:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/5/2016 7:16,8/5/2016 9:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/5/2016 10:36,8/5/2016 11:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/5/2016 18:36,8/5/2016 20:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/5/2016 21:16,8/5/2016 21:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/5/2016 22:56,8/5/2016 23:36,US/Mountain Saguache,Saguache,81149
Rain,Light,8/6/2016 1:16,8/6/2016 1:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/6/2016 2:36,8/6/2016 3:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/6/2016 4:16,8/6/2016 4:56,US/Mountain Saguache,Saguache,81149
Rain,Light,8/6/2016 5:16,8/6/2016 6:16,US/Mountain Saguache,Saguache,81149
Rain,Light,8/6/2016 7:36,8/6/2016 9:36,US/Mountain Saguache,Saguache,81149
Rain,Moderate,10/7/2016 18:15,10/7/2016 18:35,US/Central Early,Brown,76802
Rain,Heavy,10/7/2016 18:35,10/7/2016 18:55,US/Central Early,Brown,76802
Precipitation,UNK,10/7/2016 18:55,10/7/2016 19:15,US/Central Early,Brown,76802
