State,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted,Losses incurred by insurance companies for collisions per insured driver ($),Severity,StartTime(UTC),EndTime(UTC)
Alabama,39,96,145.08,Light,8/1/2016 0:16,8/1/2016 0:56
Alaska,41,90,133.93,Light,8/1/2016 1:16,8/1/2016 1:36
Arizona,35,84,110.35,Light,8/1/2016 1:56,8/1/2016 2:16
Arkansas,18,94,142.39,Light,8/1/2016 2:36,8/1/2016 2:56
California,35,91,165.63,Light,8/1/2016 4:36,8/1/2016 4:56
Colorado,37,79,139.91,Light,8/1/2016 5:16,8/1/2016 5:36
Connecticut,46,87,167.02,Light,8/1/2016 6:16,8/1/2016 6:36
Delaware,38,87,151.48,Light,8/1/2016 23:56,8/2/2016 0:16
District of Columbia,34,100,136.05,Light,8/3/2016 0:16,8/3/2016 1:16
Florida,21,92,144.18,Light,8/3/2016 2:16,8/3/2016 2:36
Georgia,19,95,142.8,Light,8/3/2016 2:56,8/3/2016 3:36
Hawaii,54,82,120.92,Light,8/3/2016 20:56,8/3/2016 22:16
Idaho,36,85,82.75,Light,8/3/2016 22:56,8/3/2016 23:36
Illinois,36,94,139.15,Light,8/4/2016 3:36,8/4/2016 4:16
Indiana,25,95,108.92,Light,8/4/2016 6:56,8/4/2016 7:16
Iowa,17,97,114.47,Light,8/4/2016 18:16,8/4/2016 18:36
Kansas,27,77,133.8,Light,8/4/2016 20:36,8/4/2016 21:16
Kentucky,19,78,137.13,Light,8/5/2016 7:16,8/5/2016 9:56
Louisiana,35,73,194.78,Light,8/5/2016 10:36,8/5/2016 11:36
Maine,38,87,96.57,Light,8/5/2016 18:36,8/5/2016 20:36
Maryland,34,71,192.7,Light,8/5/2016 21:16,8/5/2016 21:56
Massachusetts,23,87,135.63,Light,8/5/2016 22:56,8/5/2016 23:36
Michigan,24,95,152.26,Light,8/6/2016 1:16,8/6/2016 1:56
Minnesota,23,88,133.35,Light,8/6/2016 2:36,8/6/2016 3:56
Mississippi,15,10,155.77,Light,8/6/2016 4:16,8/6/2016 4:56
Missouri,43,92,144.45,Light,8/6/2016 5:16,8/6/2016 6:16
Montana,39,84,85.15,Light,8/6/2016 7:36,8/6/2016 9:36
Nebraska,13,93,114.82,Moderate,10/7/2016 18:15,10/7/2016 18:35
Nevada,37,95,138.71,Heavy,10/7/2016 18:35,10/7/2016 18:55
New Hampshire,35,87,120.21,UNK,10/7/2016 18:55,10/7/2016 19:15
New Jersey,16,86,159.85,Light,10/7/2016 19:15,10/7/2016 20:55
New Mexico,19,67,120.75,Moderate,10/11/2016 18:35,10/11/2016 18:55
New York,32,88,150.01,Light,10/12/2016 22:15,10/13/2016 0:35
North Carolina,39,94,127.82,Light,10/14/2016 12:35,10/14/2016 12:55
North Dakota,23,99,109.72,Light,10/14/2016 13:15,10/14/2016 13:35
Ohio,28,99,133.52,Moderate,10/14/2016 13:35,10/14/2016 14:15
Oklahoma,32,92,178.86,Light,10/14/2016 14:15,10/14/2016 14:35
Oregon,33,67,104.61,Light,10/20/2016 10:55,10/20/2016 11:15
Pennsylvania,50,96,153.86,Light,10/20/2016 12:15,10/20/2016 12:35
Rhode Island,34,92,148.58,Moderate,10/20/2016 12:35,10/20/2016 12:55
South Carolina,38,96,116.29,Moderate,10/20/2016 18:15,10/20/2016 18:55
South Dakota,31,98,96.87,Moderate,10/21/2016 0:15,10/21/2016 0:35
Tennessee,21,82,155.57,Moderate,10/21/2016 20:15,10/21/2016 20:35
Texas,40,91,156.83,Moderate,10/21/2016 21:15,10/21/2016 21:35
Utah,43,88,109.48,Light,10/24/2016 0:55,10/24/2016 1:15
Vermont,30,96,109.61,Light,11/3/2016 6:15,11/3/2016 6:35
Virginia,19,87,153.72,Light,11/3/2016 8:35,11/3/2016 8:55
Washington,42,82,111.62,Moderate,11/3/2016 8:55,11/3/2016 9:15
West Virginia,34,97,152.56,Heavy,11/3/2016 9:15,11/3/2016 10:15
Wisconsin,36,39,106.62,Light,11/3/2016 10:15,11/3/2016 10:35
Wyoming,42,81,122.04,Light,11/3/2016 10:55,11/3/2016 11:35
,,,,Light,11/3/2016 13:35,11/3/2016 13:55
,,,,Moderate,11/3/2016 13:55,11/3/2016 14:15
,,,,Light,11/3/2016 14:15,11/3/2016 14:35
,,,,Moderate,11/3/2016 14:35,11/3/2016 15:15
,,,,Light,11/3/2016 15:15,11/3/2016 15:35
,,,,Moderate,11/3/2016 15:35,11/3/2016 15:55
,,,,Moderate,10/10/2017 15:53,10/10/2017 21:53
,,,,Light,10/11/2017 17:44,10/11/2017 18:21
,,,,Moderate,10/12/2017 18:53,10/12/2017 19:53
,,,,Moderate,10/16/2017 18:53,10/16/2017 19:53
,,,,Severe,10/17/2017 13:20,10/17/2017 16:53
,,,,Severe,10/18/2017 12:29,10/18/2017 13:14
,,,,Severe,10/18/2017 14:53,10/18/2017 16:18
,,,,Severe,10/18/2017 16:39,10/18/2017 17:53
,,,,Light,10/19/2017 3:19,10/19/2017 4:02
,,,,Light,10/19/2017 4:24,10/19/2017 4:53
,,,,Light,10/19/2017 7:30,10/19/2017 7:53
,,,,Light,10/19/2017 7:58,10/19/2017 8:49
,,,,Light,10/19/2017 22:53,10/19/2017 23:53
,,,,Moderate,10/19/2017 23:53,10/20/2017 0:40
,,,,Severe,10/20/2017 0:40,10/20/2017 0:53
,,,,Heavy,10/20/2017 0:53,10/20/2017 1:15
,,,,Moderate,10/20/2017 1:15,10/20/2017 1:31
,,,,Heavy,10/20/2017 1:31,10/20/2017 2:53
,,,,Moderate,10/20/2017 2:53,10/20/2017 5:53
,,,,Light,10/20/2017 5:53,10/20/2017 6:53
,,,,Light,10/20/2017 7:25,10/20/2017 7:43
,,,,Light,10/20/2017 11:53,10/20/2017 12:53
,,,,Light,10/20/2017 13:53,10/20/2017 14:53
,,,,Light,10/20/2017 16:13,10/20/2017 16:53
,,,,Light,10/20/2017 17:40,10/20/2017 18:53
,,,,Moderate,10/20/2017 19:53,10/20/2017 22:53
,,,,Moderate,10/21/2017 1:53,10/21/2017 2:53
,,,,Light,10/21/2017 12:53,10/21/2017 15:53
,,,,Light,10/21/2017 16:24,10/21/2017 17:53
,,,,Light,10/21/2017 19:53,10/21/2017 21:00
,,,,Light,10/21/2017 22:53,10/22/2017 0:53
,,,,Light,10/22/2017 5:03,10/22/2017 5:53
,,,,Moderate,10/22/2017 23:53,10/23/2017 1:53
,,,,Severe,10/23/2017 15:38,10/23/2017 15:56
,,,,Severe,10/23/2017 18:00,10/23/2017 18:11
,,,,Moderate,10/23/2017 19:53,10/23/2017 20:53
,,,,Moderate,10/23/2017 21:53,10/24/2017 1:53
,,,,Severe,10/24/2017 18:45,10/24/2017 19:46
,,,,Moderate,10/24/2017 19:46,10/24/2017 20:53
,,,,Moderate,10/24/2017 23:53,10/25/2017 0:53
,,,,Moderate,10/25/2017 3:53,10/25/2017 4:24
,,,,Severe,10/25/2017 9:06,10/25/2017 9:32
,,,,Severe,10/25/2017 13:47,10/25/2017 15:03
,,,,Severe,10/25/2017 16:45,10/25/2017 18:06
