State,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents,Car Insurance Premiums ($),Type,Road/Highway,County,ZipCode
Alabama,80,784.55,Rain,US/Mountain Saguache,Saguache,81149
Alaska,94,1053.48,Rain,US/Mountain Saguache,Saguache,81149
Arizona,96,899.47,Rain,US/Mountain Saguache,Saguache,81149
Arkansas,95,827.34,Rain,US/Mountain Saguache,Saguache,81149
California,89,878.41,Rain,US/Mountain Saguache,Saguache,81149
Colorado,95,835.5,Rain,US/Mountain Saguache,Saguache,81149
Connecticut,82,1068.73,Rain,US/Mountain Saguache,Saguache,81149
Delaware,99,1137.87,Rain,US/Mountain Saguache,Saguache,81149
District of Columbia,100,1273.89,Rain,US/Mountain Saguache,Saguache,81149
Florida,94,1160.13,Rain,US/Mountain Saguache,Saguache,81149
Georgia,93,913.15,Rain,US/Mountain Saguache,Saguache,81149
Hawaii,87,861.18,Rain,US/Mountain Saguache,Saguache,81149
Idaho,98,641.96,Rain,US/Mountain Saguache,Saguache,81149
Illinois,96,803.11,Rain,US/Mountain Saguache,Saguache,81149
Indiana,95,710.46,Rain,US/Mountain Saguache,Saguache,81149
Iowa,87,649.06,Rain,US/Mountain Saguache,Saguache,81149
Kansas,85,780.45,Rain,US/Mountain Saguache,Saguache,81149
Kentucky,76,872.51,Rain,US/Mountain Saguache,Saguache,81149
Louisiana,98,1281.55,Rain,US/Mountain Saguache,Saguache,81149
Maine,84,661.88,Rain,US/Mountain Saguache,Saguache,81149
Maryland,99,1048.78,Rain,US/Mountain Saguache,Saguache,81149
Massachusetts,80,1011.14,Rain,US/Mountain Saguache,Saguache,81149
Michigan,77,1110.61,Rain,US/Mountain Saguache,Saguache,81149
Minnesota,88,777.18,Rain,US/Mountain Saguache,Saguache,81149
Mississippi,100,896.07,Rain,US/Mountain Saguache,Saguache,81149
Missouri,84,790.32,Rain,US/Mountain Saguache,Saguache,81149
Montana,85,816.21,Rain,US/Mountain Saguache,Saguache,81149
Nebraska,90,732.28,Rain,US/Central Early,Brown,76802
Nevada,99,1029.87,Rain,US/Central Early,Brown,76802
New Hampshire,83,746.54,Precipitation,US/Central Early,Brown,76802
New Jersey,78,1301.52,Rain,US/Central Early,Brown,76802
New Mexico,98,869.85,Fog,US/Central Early,Brown,76802
New York,80,1234.31,Rain,US/Central Early,Brown,76802
North Carolina,81,708.24,Rain,US/Central Early,Brown,76802
North Dakota,86,688.75,Rain,US/Central Early,Brown,76802
Ohio,82,697.73,Rain,US/Central Early,Brown,76802
Oklahoma,94,881.51,Rain,US/Central Early,Brown,76802
Oregon,90,804.71,Rain,US/Central Early,Brown,76802
Pennsylvania,88,905.99,Rain,US/Central Early,Brown,76802
Rhode Island,79,1148.99,Rain,US/Central Early,Brown,76802
South Carolina,81,858.97,Fog,US/Central Early,Brown,76802
South Dakota,86,669.31,Fog,US/Central Early,Brown,76802
Tennessee,81,767.91,Fog,US/Central Early,Brown,76802
Texas,87,1004.75,Fog,US/Central Early,Brown,76802
Utah,96,809.38,Rain,US/Central Early,Brown,76802
Vermont,95,716.2,Rain,US/Central Early,Brown,76802
Virginia,88,768.95,Rain,US/Central Early,Brown,76802
Washington,86,890.03,Rain,US/Central Early,Brown,76802
West Virginia,87,992.61,Rain,US/Central Early,Brown,76802
Wisconsin,84,670.31,Rain,US/Central Early,Brown,76802
Wyoming,90,791.14,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Rain,US/Central Early,Brown,76802
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Precipitation,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Rain,US/Pacific McKinleyville,Humboldt,95519
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Fog,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Precipitation,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
,,,Rain,US/Eastern Frisco,Dare,27936
