FROM_DATE,TO_DATE,STREET_ADDRESS,Works Type,Category Of Works,Accident Ref No.,Casualty Severity
2020-01-06T00:00:00.000Z,2020-03-09T00:00:00.000Z,1715 DIXIE HWY,MAJOR,Streetworks,10BA0000011,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,729 W EVELYN AVE,MINOR,Streetworks,10BA0000014,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,2139 DIXIE HWY,MAJOR,Streetworks,10BA0000037,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1112 ZANE ST,HIGHWAYS ACT PERMITS,Building Licence,10BA0000064,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,508 DAVIES AVE,HIGHWAYS ACT PERMITS,Building Licence,10CA0000023,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1464 S 9TH ST,STANDARD,Streetworks,10CA0000023,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1620 S 7TH ST,HIGHWAYS ACT PERMITS,Building Licence,10CA0000023,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,434 W JEFFERSON ST,MAJOR,Streetworks,10CA0000024,Slight
2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,903 W MAGNOLIA AVE,HIGHWAYS ACT PERMITS,Building Licence,10CA0000024,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1103 W HILL ST,STANDARD,Streetworks,10CA0000024,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1228 QUALITY CHOICE PL,MAJOR,Streetworks,10CA0000024,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,313 S 4TH ST,MINOR,Streetworks,10CA0000026,Slight
2020-01-13T00:00:00.000Z,2020-03-01T00:00:00.000Z,200 S 7TH ST,HIGHWAYS ACT PERMITS,Building Licence,10CA0000038,Slight
2020-01-13T00:00:00.000Z,2020-03-09T00:00:00.000Z,1516 S 12TH ST Unit A,MAJOR,Streetworks,10CA0000038,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,527 W JEFFERSON ST,MAJOR,Streetworks,10BA0000071,Slight
2020-02-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,2737 HELM ST,HIGHWAYS ACT PERMITS,Other,10BA0000071,Slight
2020-02-01T00:00:00.000Z,2020-03-01T00:00:00.000Z,221 S 4TH ST,MINOR,Streetworks,10CA0000039,Slight
2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,139 CABEL ST,MAJOR,Streetworks,10CA0000039,Slight
2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1668 RICHMOND DR,MAJOR,Streetworks,10CA0000040,Slight
2020-02-24T00:00:00.000Z,2020-04-20T00:00:00.000Z,416 W JEFFERSON ST,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction,10CA0000040,Slight
