Age of Casualty,Direction,DistrictNumber,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
62,BOTH DIRECTIONS,2,41.282727,-83.638976,3/26/2018 1:00,6/30/2018 18:00
36,BOTH DIRECTIONS,4,41.237972,-80.757294,3/19/2018 5:00,4/20/2018 17:00
34,EASTBOUND,12,41.424571,-81.544087,3/17/2018 8:00,10/31/2018 6:00
27,BOTH DIRECTIONS,3,41.297515,-82.605937,4/23/2018 7:00,5/23/2018 17:00
18,BOTH DIRECTIONS,11,40.478321,-81.483595,3/12/2018 7:00,10/31/2018 17:00
20,BOTH DIRECTIONS,9,39.208977,-83.628949,4/2/2018 8:00,9/1/2018 16:00
21,BOTH DIRECTIONS,9,38.757722,-82.863763,3/5/2018 7:00,4/28/2018 17:00
19,BOTH DIRECTIONS,10,39.563685,-81.20519,5/15/2018 7:00,6/3/2018 17:00
18,BOTH DIRECTIONS,10,39.46191,-81.124074,3/19/2018 7:00,4/30/2018 17:00
19,BOTH DIRECTIONS,7,40.706958,-84.7853,4/9/2018 7:00,4/22/2018 17:00
21,BOTH DIRECTIONS,12,41.42051,-81.64401,3/28/2018 7:00,6/29/2019 19:00
26,BOTH DIRECTIONS,1,40.892774,-83.885575,4/16/2018 8:00,4/20/2018 16:00
26,BOTH DIRECTIONS,5,40.435947,-81.964427,4/16/2018 2:05,4/23/2018 16:00
38,BOTH DIRECTIONS,4,41.272377,-81.145457,4/16/2018 5:00,7/27/2018 17:00
20,BOTH DIRECTIONS,3,40.762265,-82.694564,4/16/2018 7:00,5/31/2018 17:00
18,EASTBOUND,4,41.039116,-81.63306,4/17/2018 7:40,4/17/2018 21:00
67,BOTH DIRECTIONS,5,40.355705,-82.127779,4/4/2018 9:00,4/25/2018 15:00
64,BOTH DIRECTIONS,11,40.274484,-80.619178,1/18/2012 0:00,6/30/2018 17:00
20,BOTH DIRECTIONS,11,40.219519,-80.666471,3/11/2011 20:00,5/31/2018 17:00
