State,Car Insurance Premiums ($),Type,StartTime(UTC),Road/Highway,Number of Employees,Number of Light Duty Vehicles,Number of Medium Duty Vehicles
Alabama,784.55,Rain,8/1/2016 0:16,US/Mountain Saguache,208,253,38
Alaska,1053.48,Rain,8/1/2016 1:16,US/Mountain Saguache,188,251,40
Arizona,899.47,Rain,8/1/2016 1:56,US/Mountain Saguache,196,248,41
Arkansas,827.34,Rain,8/1/2016 2:36,US/Mountain Saguache,174,257,39
California,878.41,Rain,8/1/2016 4:36,US/Mountain Saguache,170,294,44
Colorado,835.5,Rain,8/1/2016 5:16,US/Mountain Saguache,160,294,44
Connecticut,1068.73,Rain,8/1/2016 6:16,US/Mountain Saguache,158,255,44
Delaware,1137.87,Rain,8/1/2016 23:56,US/Mountain Saguache,145,289,44
District of Columbia,1273.89,Rain,8/3/2016 0:16,US/Mountain Saguache,162,260,41
Florida,1160.13,Rain,8/3/2016 2:16,US/Mountain Saguache,185,261,43
Georgia,913.15,Rain,8/3/2016 2:56,US/Mountain Saguache,169,275,46
Hawaii,861.18,Rain,8/3/2016 20:56,US/Mountain Saguache,179,275,46
Idaho,641.96,Rain,8/3/2016 22:56,US/Mountain Saguache,194,277,46
Illinois,803.11,Rain,8/4/2016 3:36,US/Mountain Saguache,188,291,46
Indiana,710.46,Rain,8/4/2016 6:56,US/Mountain Saguache,179,297,48
Iowa,649.06,Rain,8/4/2016 18:16,US/Mountain Saguache,170,301,48
Kansas,780.45,Rain,8/4/2016 20:36,US/Mountain Saguache,,,
Kentucky,872.51,Rain,8/5/2016 7:16,US/Mountain Saguache,,,
Louisiana,1281.55,Rain,8/5/2016 10:36,US/Mountain Saguache,,,
Maine,661.88,Rain,8/5/2016 18:36,US/Mountain Saguache,,,
Maryland,1048.78,Rain,8/5/2016 21:16,US/Mountain Saguache,,,
Massachusetts,1011.14,Rain,8/5/2016 22:56,US/Mountain Saguache,,,
Michigan,1110.61,Rain,8/6/2016 1:16,US/Mountain Saguache,,,
Minnesota,777.18,Rain,8/6/2016 2:36,US/Mountain Saguache,,,
Mississippi,896.07,Rain,8/6/2016 4:16,US/Mountain Saguache,,,
Missouri,790.32,Rain,8/6/2016 5:16,US/Mountain Saguache,,,
Montana,816.21,Rain,8/6/2016 7:36,US/Mountain Saguache,,,
Nebraska,732.28,Rain,10/7/2016 18:15,US/Central Early,,,
Nevada,1029.87,Rain,10/7/2016 18:35,US/Central Early,,,
New Hampshire,746.54,Precipitation,10/7/2016 18:55,US/Central Early,,,
New Jersey,1301.52,Rain,10/7/2016 19:15,US/Central Early,,,
New Mexico,869.85,Fog,10/11/2016 18:35,US/Central Early,,,
New York,1234.31,Rain,10/12/2016 22:15,US/Central Early,,,
North Carolina,708.24,Rain,10/14/2016 12:35,US/Central Early,,,
North Dakota,688.75,Rain,10/14/2016 13:15,US/Central Early,,,
Ohio,697.73,Rain,10/14/2016 13:35,US/Central Early,,,
Oklahoma,881.51,Rain,10/14/2016 14:15,US/Central Early,,,
Oregon,804.71,Rain,10/20/2016 10:55,US/Central Early,,,
Pennsylvania,905.99,Rain,10/20/2016 12:15,US/Central Early,,,
Rhode Island,1148.99,Rain,10/20/2016 12:35,US/Central Early,,,
South Carolina,858.97,Fog,10/20/2016 18:15,US/Central Early,,,
South Dakota,669.31,Fog,10/21/2016 0:15,US/Central Early,,,
Tennessee,767.91,Fog,10/21/2016 20:15,US/Central Early,,,
Texas,1004.75,Fog,10/21/2016 21:15,US/Central Early,,,
Utah,809.38,Rain,10/24/2016 0:55,US/Central Early,,,
Vermont,716.2,Rain,11/3/2016 6:15,US/Central Early,,,
Virginia,768.95,Rain,11/3/2016 8:35,US/Central Early,,,
Washington,890.03,Rain,11/3/2016 8:55,US/Central Early,,,
West Virginia,992.61,Rain,11/3/2016 9:15,US/Central Early,,,
Wisconsin,670.31,Rain,11/3/2016 10:15,US/Central Early,,,
Wyoming,791.14,Rain,11/3/2016 10:55,US/Central Early,,,
,,Rain,11/3/2016 13:35,US/Central Early,,,
,,Rain,11/3/2016 13:55,US/Central Early,,,
,,Rain,11/3/2016 14:15,US/Central Early,,,
,,Rain,11/3/2016 14:35,US/Central Early,,,
,,Rain,11/3/2016 15:15,US/Central Early,,,
,,Rain,11/3/2016 15:35,US/Central Early,,,
,,Fog,10/10/2017 15:53,US/Pacific McKinleyville,,,
,,Rain,10/11/2017 17:44,US/Pacific McKinleyville,,,
,,Fog,10/12/2017 18:53,US/Pacific McKinleyville,,,
,,Fog,10/16/2017 18:53,US/Pacific McKinleyville,,,
,,Fog,10/17/2017 13:20,US/Pacific McKinleyville,,,
,,Fog,10/18/2017 12:29,US/Pacific McKinleyville,,,
,,Fog,10/18/2017 14:53,US/Pacific McKinleyville,,,
,,Fog,10/18/2017 16:39,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 3:19,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 4:24,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 7:30,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 7:58,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 22:53,US/Pacific McKinleyville,,,
,,Rain,10/19/2017 23:53,US/Pacific McKinleyville,,,
,,Fog,10/20/2017 0:40,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 0:53,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 1:15,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 1:31,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 2:53,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 5:53,US/Pacific McKinleyville,,,
,,Rain,10/20/2017 7:25,US/Pacific McKinleyville,,,
