Category Of Works,Accident Ref No.,Sex of Casualty,Age of Casualty,Latitude,Longitude,ActivityStartDateTime,ActivityEndDateTime
Streetworks,10BA0000011,Female,62,41.282727,-83.638976,3/26/2018 1:00,6/30/2018 18:00
Streetworks,10BA0000014,Male,36,41.237972,-80.757294,3/19/2018 5:00,4/20/2018 17:00
Streetworks,10BA0000037,Female,34,41.424571,-81.544087,3/17/2018 8:00,10/31/2018 6:00
Building Licence,10BA0000064,Male,27,41.297515,-82.605937,4/23/2018 7:00,5/23/2018 17:00
Building Licence,10CA0000023,Male,18,40.478321,-81.483595,3/12/2018 7:00,10/31/2018 17:00
Streetworks,10CA0000023,Male,20,39.208977,-83.628949,4/2/2018 8:00,9/1/2018 16:00
Building Licence,10CA0000023,Female,21,38.757722,-82.863763,3/5/2018 7:00,4/28/2018 17:00
Streetworks,10CA0000024,Male,19,39.563685,-81.20519,5/15/2018 7:00,6/3/2018 17:00
Building Licence,10CA0000024,Male,18,39.46191,-81.124074,3/19/2018 7:00,4/30/2018 17:00
Streetworks,10CA0000024,Male,19,40.706958,-84.7853,4/9/2018 7:00,4/22/2018 17:00
Streetworks,10CA0000024,Male,21,41.42051,-81.64401,3/28/2018 7:00,6/29/2019 19:00
Streetworks,10CA0000026,Male,26,40.892774,-83.885575,4/16/2018 8:00,4/20/2018 16:00
Building Licence,10CA0000038,Male,26,40.435947,-81.964427,4/16/2018 2:05,4/23/2018 16:00
Streetworks,10CA0000038,Male,38,41.272377,-81.145457,4/16/2018 5:00,7/27/2018 17:00
Streetworks,10BA0000071,Male,20,40.762265,-82.694564,4/16/2018 7:00,5/31/2018 17:00
Other,10BA0000071,Female,18,41.039116,-81.63306,4/17/2018 7:40,4/17/2018 21:00
Streetworks,10CA0000039,Male,67,40.355705,-82.127779,4/4/2018 9:00,4/25/2018 15:00
Streetworks,10CA0000039,Female,64,40.274484,-80.619178,1/18/2012 0:00,6/30/2018 17:00
Streetworks,10CA0000040,Male,20,40.219519,-80.666471,3/11/2011 20:00,5/31/2018 17:00
Temporary Traffic Restriction,10CA0000040,Female,18,41.294514,-81.639849,3/20/2017 8:00,7/31/2019 8:00
Streetworks,10CA0000203,Female,36,41.58049,-81.540945,4/12/2018 20:00,12/31/2018 6:00
Streetworks,10CA0000203,Female,9,39.300481,-81.663601,5/1/2018 7:00,6/15/2018 17:00
Streetworks,10CA0000203,Female,17,40.008367,-80.749914,2/28/2018 8:00,6/30/2018 17:00
Streetworks,10AA0000097,Male,39,39.226048,-84.368744,6/11/2018 7:00,9/30/2018 15:30
Streetworks,10AA0000097,Female,57,41.674872,-83.572939,1/1/2017 6:00,9/30/2018 18:00
Temporary Traffic Restriction,10AA0000200,Male,19,40.0967,-83.13656,4/17/2018 22:00,4/18/2018 5:00
Temporary Traffic Restriction,10AA0000200,Male,20,40.878755,-80.841422,4/16/2018 7:00,10/31/2018 17:00
Streetworks,10BA0000020,Male,35,38.838947,-82.164868,4/10/2018 7:00,4/27/2018 16:30
Crane Operation,10BA0000162,Female,17,39.706996,-81.014471,5/1/2018 7:00,5/17/2018 17:00
Streetworks,10CA0000035,Female,20,40.80529,-81.986056,4/15/2018 22:22,4/17/2018 10:00
Streetworks,10AA0000089,Female,30,41.370581,-81.082754,4/12/2018 8:00,10/15/2018 8:00
Temporary Traffic Restriction,10AA0000089,Female,46,38.553503,-82.467397,4/19/2018 8:00,6/15/2018 16:00
Streetworks,10AA0000116,Male,30,41.054191,-83.671062,3/26/2017 21:00,12/18/2020 7:00
Streetworks,10AA0000116,Female,33,41.04045,-81.608756,4/16/2018 10:51,4/20/2018 23:59
Streetworks,10BA0000140,Male,19,39.743568,-84.785104,3/19/2018 7:00,7/21/2018 15:30
Streetworks,10BA0000140,Male,4,39.782402,-83.959571,4/23/2018 7:00,10/26/2018 15:30
Other,10BA0000140,Female,20,40.420645,-81.089085,4/9/2018 6:00,10/31/2018 17:00
Building Licence,10BA0000140,Male,18,39.560238,-81.205552,4/16/2018 8:30,4/17/2018 15:30
