Local Authority Reference,Works Type,Casualty Class,Casualty Severity,FULLNAME,WORKTYPE_DESCRIPTION,Direction,CountyCode,DistrictNumber
LA00422401,MAJOR,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,WOO,2
LA00437737,MINOR,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,TRU,4
LA00434908,MAJOR,Pedestrian,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",EASTBOUND,CUY,12
LA00434470,HIGHWAYS ACT PERMITS,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ERI,3
LA00425158,HIGHWAYS ACT PERMITS,Driver,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,TUS,11
LA00429090,STANDARD,Passenger,Slight,KCI Tecnologies,"Lane Closure, Utility Cut",BOTH DIRECTIONS,HIG,9
LA00431608,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,SCI,9
LA00432748,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00436259,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00428657,STANDARD,Passenger,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,MER,7
LA00396596,MAJOR,Passenger,Slight,KCI Tecnologies,"Lane Closure, Sidewalk Closure, Utility Cut",BOTH DIRECTIONS,CUY,12
LA00435414,MINOR,Driver,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,ALL,1
LA00427405,HIGHWAYS ACT PERMITS,Driver,Slight,American Roofing Metal,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,COS,5
LA00423616,MAJOR,Driver,Slight,,"Excavation, Lane Closure",BOTH DIRECTIONS,POR,4
LA00434861,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,RIC,3
LA00435434,HIGHWAYS ACT PERMITS,Passenger,Slight,,Lane Closure,EASTBOUND,SUM,4
LA00428981,MINOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,COS,5
LA00399369,MAJOR,Passenger,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,JEF,11
LA00437545,MAJOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,JEF,11
LA00434084,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00417447,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,CUY,12
LA00429060,STANDARD,Passenger,Slight,,"Excavation, Lane Closure, Sidewalk Closure",SOUTHBOUND,WAS,10
LA00430406,MAJOR,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,BEL,11
LA00378171,MINOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,HAM,8
LA00397644,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,LUC,2
LA00381737,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville Gas & Electric,Lane Closure,SOUTHBOUND,FRA,6
LA00426293,HIGHWAYS ACT PERMITS,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,COL,11
LA00429651,MAJOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,GAL,10
LA00437100,HIGHWAYS ACT PERMITS,Pedestrian,Slight,,"Excavation, Lane Closure, Utility Cut",BOTH DIRECTIONS,MOE,10
LA00436199,MINOR,Driver,Slight,,Lane Closure,BOTH DIRECTIONS,WAY,3
LA00436669,MINOR,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,GEA,12
LA00436489,HIGHWAYS ACT PERMITS,Driver,Slight,Jacob L Mathis,"Excavation, Road Closure, Sidewalk Closure",BOTH DIRECTIONS,LAW,9
LA00434102,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAN,1
LA00437600,MINOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SUM,4
LA00434694,MINOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,PRE,8
LA00394973,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,GRE,8
LA00436515,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAS,11
LA00416663,HIGHWAYS ACT PERMITS,Passenger,Slight,,Lane Closure,BOTH DIRECTIONS,WAS,10
LA00437064,STANDARD,Pedestrian,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,STA,4
LA00435757,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure, Utility Cut",EASTBOUND,LOR,3
LA00432754,HIGHWAYS ACT PERMITS,Driver,Slight,American Roofing Metal,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,GUE,5
LA00414179,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,CUY,12
LA00420783,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00437054,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SCI,9
LA00408153,HIGHWAYS ACT PERMITS,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MIA,7
LA00421969,MAJOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,LUC,2
LA00430497,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",EASTBOUND,MAH,4
LA00424578,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,RIC,3
LA00434097,MAJOR,Pedestrian,Slight,,"Excavation, Road Closure",BOTH DIRECTIONS,SEN,2
LA00428725,STANDARD,Driver,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,UNI,6
LA00437808,HIGHWAYS ACT PERMITS,Driver,Slight,Louisville Gas & Electric,Lane Closure,BOTH DIRECTIONS,LUC,2
LA00436501,STANDARD,Pedestrian,Slight,,Lane Closure,BOTH DIRECTIONS,SHE,7
LA00433597,MAJOR,Driver,Slight,,Lane Closure,SOUTHBOUND,LUC,2
LA00434086,HIGHWAYS ACT PERMITS,Driver,Slight,MCI Metro/TCS Communications,Lane Closure,BOTH DIRECTIONS,TRU,4
LA00436423,MINOR,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,HAM,8
LA00432628,MAJOR,Passenger,Slight,Jacob L Mathis,"Excavation, Road Closure",BOTH DIRECTIONS,HAM,8
LA00436663,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,POR,4
LA00352027,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",NORTHBOUND,ATH,10
LA00398973,MAJOR,Driver,Slight,,Lane Closure,WESTBOUND,MAH,4
LA00437241,HIGHWAYS ACT PERMITS,Passenger,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,TUS,11
LA00432529,HIGHWAYS ACT PERMITS,Pedestrian,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,SUM,4
LA00435588,HIGHWAYS ACT PERMITS,Pedestrian,Slight,MCI Metro/TCS Communications,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,WAS,10
LA00429505,STANDARD,Pedestrian,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,MOT,7
LA00436461,MINOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,GEA,12
LA00432543,HIGHWAYS ACT PERMITS,Pedestrian,Slight,Louisville Water Company,"Excavation, Lane Closure, Road Closure, Utility Cut",BOTH DIRECTIONS,WAR,8
LA00434692,MINOR,Driver,Serious,APTITUDE 4TH STREET LLC,Road Closure,BOTH DIRECTIONS,GRE,8
LA00375752,HIGHWAYS ACT PERMITS,Passenger,Slight,Louisville MSD,Other Mobile Facilities,BOTH DIRECTIONS,STA,4
LA00397638,MAJOR,Passenger,Slight,Louisville MSD,,BOTH DIRECTIONS,MOE,10
LA00430828,MAJOR,Passenger,Slight,Hall Contracting of Kentucky,"Excavation, Lane Closure, Road Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,JAC,9
LA00433110,MAJOR,Pedestrian,Serious,,Lane Closure,BOTH DIRECTIONS,ATH,10
LA00434505,STANDARD,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,PIK,9
LA00435470,MAJOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,CUY,12
LA00437506,MINOR,Driver,Slight,,"Lane Closure, Sidewalk Closure",BOTH DIRECTIONS,POR,4
LA00435468,STANDARD,Driver,Slight,"Power of Design Group, LLC","Lane Closure, Sidewalk Closure, Temp Parking on Bagged Meter",BOTH DIRECTIONS,CUY,12
