Local Authority Reference,Works Type,Sex of Casualty,Age of Casualty,Category/__cdata/0,Direction,DistrictNumber,Latitude,Longitude
LA00422401,MAJOR,Female,62, Roadwork - Planned ,BOTH DIRECTIONS,2,41.282727,-83.638976
LA00437737,MINOR,Male,36, Roadwork - Planned ,BOTH DIRECTIONS,4,41.237972,-80.757294
LA00434908,MAJOR,Female,34, Roadwork - Planned ,EASTBOUND,12,41.424571,-81.544087
LA00434470,HIGHWAYS ACT PERMITS,Male,27, Roadwork - Planned ,BOTH DIRECTIONS,3,41.297515,-82.605937
LA00425158,HIGHWAYS ACT PERMITS,Male,18, Roadwork - Planned ,BOTH DIRECTIONS,11,40.478321,-81.483595
LA00429090,STANDARD,Male,20, Roadwork - Planned ,BOTH DIRECTIONS,9,39.208977,-83.628949
LA00431608,HIGHWAYS ACT PERMITS,Female,21, Roadwork - Planned ,BOTH DIRECTIONS,9,38.757722,-82.863763
LA00432748,MAJOR,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,10,39.563685,-81.20519
LA00436259,HIGHWAYS ACT PERMITS,Male,18, Roadwork - Unplanned ,BOTH DIRECTIONS,10,39.46191,-81.124074
LA00428657,STANDARD,Male,19, Roadwork - Planned ,BOTH DIRECTIONS,7,40.706958,-84.7853
LA00396596,MAJOR,Male,21, Roadwork - Planned ,BOTH DIRECTIONS,12,41.42051,-81.64401
LA00435414,MINOR,Male,26, Roadwork - Planned ,BOTH DIRECTIONS,1,40.892774,-83.885575
LA00427405,HIGHWAYS ACT PERMITS,Male,26, Flooding ,BOTH DIRECTIONS,5,40.435947,-81.964427
LA00423616,MAJOR,Male,38, Roadwork - Planned ,BOTH DIRECTIONS,4,41.272377,-81.145457
LA00434861,MAJOR,Male,20, Roadwork - Planned ,BOTH DIRECTIONS,3,40.762265,-82.694564
LA00435434,HIGHWAYS ACT PERMITS,Female,18, Other ,EASTBOUND,4,41.039116,-81.63306
LA00428981,MINOR,Male,67, Flooding ,BOTH DIRECTIONS,5,40.355705,-82.127779
LA00399369,MAJOR,Female,64, Roadwork - Unplanned ,BOTH DIRECTIONS,11,40.274484,-80.619178
LA00437545,MAJOR,Male,20, Roadwork - Unplanned ,BOTH DIRECTIONS,11,40.219519,-80.666471
LA00434084,HIGHWAYS ACT PERMITS,Female,18, Roadwork - Planned ,BOTH DIRECTIONS,12,41.294514,-81.639849
LA00417447,MAJOR,Female,36, Roadwork - Planned ,EASTBOUND,12,41.58049,-81.540945
LA00429060,STANDARD,Female,9, Roadwork - Planned ,SOUTHBOUND,10,39.300481,-81.663601
LA00430406,MAJOR,Female,17, Roadwork - Unplanned ,BOTH DIRECTIONS,11,40.008367,-80.749914
LA00378171,MINOR,Male,39, Roadwork - Planned ,BOTH DIRECTIONS,8,39.226048,-84.368744
LA00397644,MAJOR,Female,57, Roadwork - Planned ,BOTH DIRECTIONS,2,41.674872,-83.572939
LA00381737,HIGHWAYS ACT PERMITS,Male,19, Roadwork - Planned ,SOUTHBOUND,6,40.0967,-83.13656
LA00426293,HIGHWAYS ACT PERMITS,Male,20, Roadwork - Planned ,BOTH DIRECTIONS,11,40.878755,-80.841422
LA00429651,MAJOR,Male,35, Roadwork - Planned ,BOTH DIRECTIONS,10,38.838947,-82.164868
LA00437100,HIGHWAYS ACT PERMITS,Female,17, Roadwork - Planned ,BOTH DIRECTIONS,10,39.706996,-81.014471
LA00436199,MINOR,Female,20, Flooding ,BOTH DIRECTIONS,3,40.80529,-81.986056
LA00436669,MINOR,Female,30, Roadwork - Planned ,BOTH DIRECTIONS,12,41.370581,-81.082754
LA00436489,HIGHWAYS ACT PERMITS,Female,46, Roadwork - Planned ,BOTH DIRECTIONS,9,38.553503,-82.467397
LA00434102,MAJOR,Male,30, Roadwork - Planned ,BOTH DIRECTIONS,1,41.054191,-83.671062
LA00437600,MINOR,Female,33, Flooding ,BOTH DIRECTIONS,4,41.04045,-81.608756
